player,position,team,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Larrell Murchison,DT,LAR,28,6-2,285,6,North Carolina State,,,,,https://www.nfl.com/players/larrell-murchison/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jeremiah Pharms Jr.,EDGE,NE,29,6-3,300,3,Friends U.,,,,,https://www.nfl.com/players/jeremiah-pharms-2/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Demani Richardson,SAF,CAR,25,6-1,215,2,Texas A&M,,,,,https://www.nfl.com/players/demani-richardson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Dane Jackson,CB,BUF,29,5-11,180,6,Pittsburgh,,,,,https://www.nfl.com/players/dane-jackson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Eric Kendricks,MLB,SF,34,6-0,232,11,UCLA,,,,,https://www.nfl.com/players/eric-kendricks/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Baylon Spector,LB,BUF,27,6-0,233,4,Clemson,,,,,https://www.nfl.com/players/baylon-spector/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
D'Ernest Johnson,RB,NE,30,5-10,208,7,South Florida,,,,,https://www.nfl.com/players/d-ernest-johnson/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jalen Reeves-Maybin,LB,CHI,31,6-1,226,9,Tennessee,,,,,https://www.nfl.com/players/jalen-reeves-maybin/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Brayden Willis,TE,SF,26,6-4,240,3,Oklahoma,,,,,https://www.nfl.com/players/brayden-willis/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Trevon Diggs,CB,GB,27,6-1,195,6,Alabama,,,,,https://www.nfl.com/players/trevon-diggs/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Cam Akers,RB,SEA,26,5-10,217,5,Florida State,,,,,https://www.nfl.com/players/cam-akers/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Federico Maranges,C,SEA,24,6-3,302,R,Florida Atlantic,,,,,https://www.nfl.com/players/federico-maranges/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
J.R. Singleton,DT,SEA,24,6-1,299,R,Iowa State,,,,,https://www.nfl.com/players/j-r-singleton/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Ja'Markis Weston,LB,SEA,25,6-2,235,R,Florida,,,,,https://www.nfl.com/players/ja-markis-weston/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jacardia Wright,RB,SEA,25,6-0,218,R,Missouri State,,,,,https://www.nfl.com/players/jacardia-wright/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Jamie Sheriff,LB,SEA,25,6-1,254,1,South Alabama,,,,,https://www.nfl.com/players/jamie-sheriff/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Logan Brown,OT,SEA,24,6-6,312,R,Kansas,,,,,https://www.nfl.com/players/logan-brown/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Maxen Hook,SAF,SEA,24,6-0,203,R,Toledo,,,,,https://www.nfl.com/players/maxen-hook/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Montorie Foster Jr,WR,SEA,24,6-0,185,R,Michigan State,,,,,https://www.nfl.com/players/montorie-foster-jr/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
Pooh Paul Jr.,LB,SEA,23,6-1,235,R,Mississippi,,,,,https://www.nfl.com/players/chris-paul-jr/,nfl_disambiguation_hint,2026-03-26T00:00:00Z
