player,team,reason,notes
Marcus Maye,LAC,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Tre Flowers,PIT,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Hunter Renfrow,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Geron Christian,DEN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Marcedes Lewis,DEN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Clayton Tune,GB,missing_disambiguation_hint,No PFR slug and no usable NFL hint
K'Von Wallace,HOU,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Darrell Taylor,HOU,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Jalan Gaines,SEA,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Robert Woods,LAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Logan Wilson,DAL,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Justin Osborne,CLE,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Savion Washington,LAC,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Perrion Winfrey,DAL,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Popo Aumavae,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Anthony Johnson Jr.,NYG,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Joshua Paschal,DET,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Bryce Huff,SF,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Zeke Correll,MIN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
