"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","contract_aav","contract_total","contract_years","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","season_anomaly","ingested_at"
"ofs_2017_01_00013","2017-09-07","2017-09-07","trade","PeteAd01","NO","ARI","14000000","42000000","3","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00014","2017-09-07","2017-09-07","trade","BakeBu00","CHI","ARI","1707493","6829970","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00015","2017-09-07","2017-09-07","trade","WillCh05","CAR","ARI","794072","3176288","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00016","2017-09-07","2017-09-07","trade","JohnDo03","CAR","ARI","764097","3056388","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00017","2017-09-07","2017-09-07","trade","FordRu00","","ARI","635048","2540192","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00018","2017-09-07","2017-09-07","trade","SielZa00","BAL","ARI","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00019","2017-09-07","2017-09-07","trade","HillBr02","BUF","ATL","667315","2669260","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00020","2017-09-07","2017-09-07","trade","KazeDa00","BUF","ATL","672233","2688932","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00021","2017-09-07","2017-09-07","trade","RileDu00","BUF","ATL","879438","3517752","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00022","2017-09-07","2017-09-07","trade","McKiTa00","SEA","ATL","2554198","10216792","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00023","2017-09-07","2017-09-07","trade","SambTy00","DEN","ATL","961489","3845956","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00024","2017-09-07","2017-09-07","trade","BowaLu00","JAX","BAL","578513","2314052","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00025","2017-09-07","2017-09-07","trade","BergTo00","ARI","BAL","2875000","5750000","2","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00026","2017-09-07","2017-09-07","trade","KazeDa00","","BUF","672233","2688932","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00027","2017-09-07","2017-09-07","trade","DawkDi00","ATL","BUF","1045809","4183234","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00028","2017-09-07","2017-09-07","trade","DawsDu00","","BUF","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00029","2017-09-07","2017-09-07","trade","GainE.00","","BUF","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00030","2017-09-07","2017-09-07","trade","PhilHa00","PHI","BUF","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00031","2017-09-07","2017-09-07","trade","JohnJo10","KC","BUF","814873","3259490","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
"ofs_2017_01_00032","2017-09-07","2017-09-07","trade","MattJo00","PHI","BUF","1237318","4949270","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2017","regular","1","1","","2026-05-08T13:46:58Z"
