team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2017,1,1.000000,36,17,16.3000,1.9000,2.9000,6.0000,6.4000,1.6000,-0.7366,1499220.47,34.3634,0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
ATL,2017,1,0.773585,29,12,9.4000,1.9000,15.7000,-1.0000,10.1000,0.0000,0.8480,1542721.59,36.9480,0.4286,0.4.0-offseason,2026-05-08T19:24:27Z
BAL,2017,1,0.716981,27,11,21.5000,1.9000,0.0000,0.0000,11.1000,0.0000,-0.0281,2116017.37,34.4719,0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
BUF,2017,1,1.773585,66,28,35.3000,1.9000,3.9000,-1.2000,10.6000,1.0000,9.5116,1109245.61,61.0116,0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
CAR,2017,1,0.905660,32,16,-7.4000,9.9000,10.5000,0.9000,5.7000,-0.6000,4.1359,1643770.25,23.1359,0.5714,0.4.0-offseason,2026-05-08T19:24:27Z
CHI,2017,1,1.169811,43,19,22.8000,-2.0000,1.6000,4.1000,18.2000,0.7000,1.4559,2128523.56,46.8559,-0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
CIN,2017,1,0.509434,15,12,2.5000,1.8000,-2.6000,-4.2000,5.4000,0.0000,1.4791,1159763.27,4.3791,0.0000,0.4.0-offseason,2026-05-08T19:24:27Z
CLE,2017,1,0.981132,32,20,8.2000,3.9000,6.2000,-4.2000,3.7000,0.7000,2.8211,2733411.47,21.3211,-1.0000,0.4.0-offseason,2026-05-08T19:24:27Z
DAL,2017,1,0.886792,31,16,16.3000,5.9000,-2.3000,4.0000,4.4000,0.4000,0.4608,903077.39,29.1608,0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
DEN,2017,1,0.773585,26,15,10.0000,3.6000,12.7000,1.0000,-1.0000,-0.4000,-0.6804,1664237.62,25.2196,-0.4286,0.4.0-offseason,2026-05-08T19:24:27Z
DET,2017,1,1.037736,39,16,10.6000,10.4000,7.9000,1.0000,7.1000,1.0000,1.6904,1610966.64,39.6904,0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
GB,2017,1,0.566038,20,10,3.4000,2.0000,1.6000,5.1000,5.4000,0.4000,0.0761,2219336.10,17.9761,0.0000,0.4.0-offseason,2026-05-08T19:24:27Z
HOU,2017,1,0.754717,24,16,2.9000,2.1000,6.5000,1.0000,7.4000,0.7000,-3.5571,1194566.12,17.0429,-0.4286,0.4.0-offseason,2026-05-08T19:24:27Z
IND,2017,1,1.000000,38,15,8.8000,-1.9000,12.1000,8.2000,12.3000,1.3000,-0.1767,2402677.74,40.6233,-0.4286,0.4.0-offseason,2026-05-08T19:24:27Z
JAX,2017,1,1.094340,41,17,14.2000,4.0000,8.8000,5.0000,8.9000,1.1000,-1.1266,2336157.49,40.8734,0.4286,0.4.0-offseason,2026-05-08T19:24:27Z
KC,2017,1,0.981132,32,20,-2.0000,2.0000,11.8000,7.2000,11.8000,0.7000,-5.9838,1224419.09,25.5162,0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
LAC,2017,1,0.622642,24,9,11.4000,4.4000,7.9000,0.0000,5.7000,0.0000,0.9113,2029306.17,30.3113,0.0000,0.4.0-offseason,2026-05-08T19:24:27Z
LAR,2017,1,0.622642,25,8,12.0000,2.2000,2.6000,3.0000,10.3000,0.7000,1.6740,1743421.12,32.4740,-1.0000,0.4.0-offseason,2026-05-08T19:24:27Z
LV,2017,1,0.000000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4435,0.00,0.4435,-1.0000,0.4.0-offseason,2026-05-08T19:24:27Z
MIA,2017,1,0.867925,36,10,13.7000,0.0000,10.2000,2.9000,7.4000,1.7000,3.1099,2185994.08,39.0099,-0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
MIN,2017,1,1.000000,30,23,7.9000,-2.0000,4.3000,0.0000,2.2000,-0.6000,5.1851,1871593.90,16.9851,0.7143,0.4.0-offseason,2026-05-08T19:24:27Z
NE,2017,1,1.113208,36,23,11.5000,2.0000,7.9000,2.0000,0.0000,0.0000,-2.4626,1804543.78,20.9374,0.7143,0.4.0-offseason,2026-05-08T19:24:27Z
NO,2017,1,1.169811,49,13,16.0000,3.9000,15.4000,8.1000,16.5000,2.3000,-0.0302,1325928.78,62.1698,0.5714,0.4.0-offseason,2026-05-08T19:24:27Z
NYG,2017,1,0.830189,31,13,14.2000,6.1000,11.4000,3.0000,-0.7000,-0.7000,0.7781,1160148.23,34.0781,-0.5714,0.4.0-offseason,2026-05-08T19:24:27Z
NYJ,2017,1,1.415094,54,21,22.2000,6.0000,11.7000,7.1000,8.1000,0.1000,3.2735,1393785.46,58.4735,-0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
PHI,2017,1,0.981132,32,20,14.9000,0.0000,-4.9000,-2.1000,11.8000,0.0000,2.2377,1543670.19,21.9377,0.5714,0.4.0-offseason,2026-05-08T19:24:27Z
PIT,2017,1,0.622642,25,8,22.7000,3.8000,2.3000,0.0000,4.4000,0.4000,2.2674,1013986.20,35.8674,0.8571,0.4.0-offseason,2026-05-08T19:24:27Z
SEA,2017,1,1.245283,47,19,18.5000,0.0000,1.6000,5.0000,14.5000,0.0000,7.2940,1165143.91,46.8940,0.1429,0.4.0-offseason,2026-05-08T19:24:27Z
SF,2017,1,1.490566,49,30,18.8000,0.0000,9.8000,1.0000,10.3000,0.6000,3.3090,1995595.22,43.8090,-0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
TB,2017,1,0.811321,33,10,17.6000,5.9000,11.4000,1.0000,4.0000,2.2000,-2.1030,2073617.76,39.9970,-0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
TEN,2017,1,0.849057,29,16,12.2000,-2.0000,4.2000,3.1000,5.7000,1.1000,0.8920,1884489.86,25.1920,0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
WAS,2017,1,0.660377,25,10,0.7000,0.0000,6.2000,4.1000,15.0000,0.0000,3.0307,1674655.00,29.0307,-0.2857,0.4.0-offseason,2026-05-08T19:24:27Z
