team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2019,1,0.962264,32,19,15.0000,2.0000,4.6000,1.0000,4.4000,0.0000,0.7076,1716493.22,3,10,19,27.7076,-0.2143,0.4.0-offseason,2026-05-18T15:20:35Z
ATL,2019,1,0.641509,18,16,-4.1000,-1.9000,1.3000,-2.1000,-7.1000,0.2000,7.2588,2042523.28,2,5,8,-6.4412,0.0000,0.4.0-offseason,2026-05-18T15:20:35Z
BAL,2019,1,0.792453,22,20,0.7000,0.0000,1.3000,1.9000,2.0000,0.0000,-2.9559,2070913.45,0,8,13,2.9441,0.8571,0.4.0-offseason,2026-05-18T15:20:35Z
BUF,2019,1,0.811321,26,17,5.2000,5.7000,-3.3000,3.1000,8.1000,-0.6000,2.0612,2560343.65,5,10,9,20.2612,0.4286,0.4.0-offseason,2026-05-18T15:20:35Z
CAR,2019,1,0.566038,13,17,-5.6000,-6.4000,3.6000,-3.2000,0.0000,-0.7000,1.3936,2307600.85,4,5,4,-10.9064,-0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
CHI,2019,1,0.471698,12,13,-2.7000,0.0000,1.0000,-3.1000,1.0000,-0.7000,0.6193,1834928.17,0,4,7,-3.8807,0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
CIN,2019,1,0.396226,9,12,-8.5000,0.0000,1.3000,-1.0000,5.4000,-0.6000,-1.2746,1737470.11,0,4,5,-4.6746,-0.7143,0.4.0-offseason,2026-05-18T15:20:35Z
CLE,2019,1,0.886792,21,26,-1.0000,0.0000,-2.0000,-4.2000,-6.6000,-0.6000,2.4144,3231838.67,1,9,10,-11.9856,-0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
DAL,2019,1,0.490566,14,12,-1.8000,0.0000,-0.3000,-1.1000,1.0000,0.7000,1.0318,2067367.71,0,4,8,-0.4682,0.0000,0.4.0-offseason,2026-05-18T15:20:35Z
DEN,2019,1,0.962264,22,29,0.6000,0.0000,-5.9000,-2.1000,-2.7000,0.0000,-1.4317,2118844.64,1,13,8,-11.5317,-0.1429,0.4.0-offseason,2026-05-18T15:20:35Z
DET,2019,1,0.679245,19,17,11.9000,1.9000,3.0000,-4.1000,-4.9000,0.0000,2.1803,3075207.26,2,8,9,9.9803,-0.5000,0.4.0-offseason,2026-05-18T15:20:35Z
GB,2019,1,0.452830,10,14,-3.3000,0.0000,-2.3000,0.1000,-4.9000,0.0000,1.0350,4703555.20,1,3,5,-9.3650,0.7143,0.4.0-offseason,2026-05-18T15:20:35Z
HOU,2019,1,0.792453,23,19,5.0000,4.4000,-2.0000,4.2000,-2.7000,0.6000,-1.1484,2738569.70,1,13,8,8.3516,0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
IND,2019,1,0.603774,17,15,9.9000,-2.0000,-3.6000,-3.1000,1.2000,0.0000,3.0519,1758614.65,2,8,6,5.4519,0.0000,0.4.0-offseason,2026-05-18T15:20:35Z
JAX,2019,1,0.830189,23,21,0.5000,0.0000,4.3000,4.1000,-2.7000,-1.1000,-0.0600,1817523.04,3,5,9,5.0400,-0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
KC,2019,1,0.754717,19,21,-0.5000,-1.9000,1.0000,3.2000,0.0000,0.0000,-2.4473,2643584.89,0,9,9,-0.6473,0.4286,0.4.0-offseason,2026-05-18T15:20:35Z
LAC,2019,1,0.245283,6,7,1.8000,0.0000,-2.3000,1.1000,-5.4000,0.4000,-0.9097,2230000.00,0,4,2,-5.3097,-0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
LAR,2019,1,0.207547,3,8,-1.6000,-1.9000,-1.0000,-2.0000,1.0000,0.0000,-1.8007,3625341.67,0,1,2,-7.3007,-1.0000,0.4.0-offseason,2026-05-18T15:20:35Z
LV,2019,1,0.000000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5321,0.00,0,0,0,0.5321,-1.0000,0.4.0-offseason,2026-05-18T15:20:35Z
MIA,2019,1,1.415094,37,38,-3.2000,-4.0000,-8.2000,-3.1000,2.7000,0.0000,7.9775,1304392.35,4,19,12,-7.8225,-0.2857,0.4.0-offseason,2026-05-18T15:20:35Z
