team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2022,1,offensive_epa_per_play,-0.041529,-0.030964,-0.010565,-0.830254,-0.015870,-0.005260,-0.023513,0.002383,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
ARI,2022,1,point_diff_per_game,-6.349417,-4.456780,-1.892637,-0.718208,-2.600730,-1.184544,-3.620846,-0.164428,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
ARI,2022,1,win_pct,0.238575,0.303988,-0.065413,-0.482395,-0.091413,-0.039414,-0.128869,-0.001957,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
ATL,2022,1,offensive_epa_per_play,-0.008592,-0.000299,-0.008293,-0.307870,-0.008838,-0.007749,-0.009622,-0.006964,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
ATL,2022,1,point_diff_per_game,-2.558203,-0.658760,-1.899443,-0.721065,-2.907547,-0.891339,-4.359875,0.560988,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
ATL,2022,1,win_pct,0.445728,0.491435,-0.045707,0.149646,-0.051253,-0.040162,-0.059242,-0.032172,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BAL,2022,1,offensive_epa_per_play,0.020453,0.022698,-0.002245,1.082802,-0.002345,-0.002146,-0.002487,-0.002004,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BAL,2022,1,point_diff_per_game,3.612651,2.189567,1.423084,0.673511,0.375788,2.470379,-1.133000,3.979168,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BAL,2022,1,win_pct,0.624067,0.632011,-0.007944,1.360834,-0.032119,0.016230,-0.066945,0.051056,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BUF,2022,1,offensive_epa_per_play,0.033821,0.038034,-0.004212,0.630484,-0.008781,0.000356,-0.015363,0.006938,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BUF,2022,1,point_diff_per_game,8.198800,4.088954,4.109846,1.801236,2.985682,5.234011,1.366151,6.853542,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
BUF,2022,1,win_pct,0.726762,0.725753,0.001009,1.647996,-0.048354,0.050371,-0.119468,0.121485,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CAR,2022,1,offensive_epa_per_play,-0.015419,-0.000299,-0.015120,-1.877723,-0.019177,-0.011063,-0.025021,-0.005219,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CAR,2022,1,point_diff_per_game,-1.762814,-0.658760,-1.104054,-0.387213,-1.744566,-0.463542,-2.667320,0.459212,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CAR,2022,1,win_pct,0.392855,0.491435,-0.098581,-1.546194,-0.128672,-0.068489,-0.172022,-0.025139,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CHI,2022,1,offensive_epa_per_play,-0.045273,-0.030964,-0.014310,-1.691385,-0.017091,-0.011529,-0.021098,-0.007522,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CHI,2022,1,point_diff_per_game,-7.273448,-4.456780,-2.816668,-1.106055,-3.345995,-2.287341,-4.108572,-1.524765,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CHI,2022,1,win_pct,0.206462,0.303988,-0.097526,-1.512379,-0.117721,-0.077332,-0.146813,-0.048239,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CIN,2022,1,offensive_epa_per_play,0.035563,0.038034,-0.002471,1.030859,-0.005867,0.000924,-0.010758,0.005815,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CIN,2022,1,point_diff_per_game,6.029536,4.088954,1.940582,0.890722,1.920675,1.960489,1.891996,1.989168,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CIN,2022,1,win_pct,0.720495,0.725753,-0.005258,1.446992,-0.025145,0.014628,-0.053794,0.043278,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CLE,2022,1,offensive_epa_per_play,-0.011671,-0.000299,-0.011372,-1.015787,-0.012902,-0.009841,-0.015107,-0.007637,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CLE,2022,1,point_diff_per_game,-1.820560,-0.658760,-1.161800,-0.411451,-1.595896,-0.727704,-2.221279,-0.102322,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
CLE,2022,1,win_pct,0.397663,0.491435,-0.093772,-1.391956,-0.103300,-0.084244,-0.117026,-0.070517,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DAL,2022,1,offensive_epa_per_play,0.025547,0.030366,-0.004819,0.491061,-0.008224,-0.001413,-0.013130,0.003493,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DAL,2022,1,point_diff_per_game,5.781473,3.139260,2.642212,1.185220,1.778800,3.505625,0.534923,4.749502,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DAL,2022,1,win_pct,0.647048,0.678882,-0.031834,0.594599,-0.059099,-0.004569,-0.098378,0.034710,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DEN,2022,1,offensive_epa_per_play,-0.024533,-0.015634,-0.008898,-0.447059,-0.012179,-0.005618,-0.016905,-0.000892,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DEN,2022,1,point_diff_per_game,-1.141832,-2.558147,1.416315,0.670670,0.711535,2.121095,-0.303809,3.136439,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DEN,2022,1,win_pct,0.338156,0.397693,-0.059537,-0.293930,-0.076829,-0.042245,-0.101741,-0.017333,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DET,2022,1,offensive_epa_per_play,0.009254,0.015037,-0.005783,0.269323,-0.006691,-0.004876,-0.007998,-0.003568,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DET,2022,1,point_diff_per_game,1.412189,1.240627,0.171562,0.148206,0.092562,0.250562,-0.021249,0.364374,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
DET,2022,1,win_pct,0.540134,0.585177,-0.045043,0.170945,-0.052278,-0.037808,-0.062701,-0.027386,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
GB,2022,1,offensive_epa_per_play,-0.008203,-0.000299,-0.007904,-0.218446,-0.008711,-0.007098,-0.009873,-0.005935,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
GB,2022,1,point_diff_per_game,-0.687957,-0.658760,-0.029197,0.063940,-0.113139,0.054745,-0.234070,0.175676,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
GB,2022,1,win_pct,0.442330,0.491435,-0.049105,0.040659,-0.052361,-0.045850,-0.057050,-0.041160,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
HOU,2022,1,offensive_epa_per_play,-0.041708,-0.027136,-0.014572,-1.751739,-0.016387,-0.012758,-0.019000,-0.010144,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
HOU,2022,1,point_diff_per_game,-7.707067,-3.982687,-3.724380,-1.487052,-3.725166,-3.723593,-3.726299,-3.722460,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
HOU,2022,1,win_pct,0.223442,0.327386,-0.103944,-1.718223,-0.115768,-0.092121,-0.132801,-0.075087,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
IND,2022,1,offensive_epa_per_play,-0.027521,-0.019468,-0.008053,-0.252642,-0.012689,-0.003417,-0.019369,0.003263,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
IND,2022,1,point_diff_per_game,-5.454027,-3.032994,-2.421034,-0.939994,-4.216282,-0.625785,-6.802611,1.960544,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
IND,2022,1,win_pct,0.308980,0.374257,-0.065278,-0.478047,-0.095122,-0.035433,-0.138118,0.007563,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
JAX,2022,1,offensive_epa_per_play,0.001418,0.015037,-0.013619,-1.532589,-0.019808,-0.007430,-0.028724,0.001486,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
JAX,2022,1,point_diff_per_game,2.139701,1.240627,0.899074,0.453567,0.200272,1.597877,-0.806460,2.604608,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
JAX,2022,1,win_pct,0.470543,0.585177,-0.114634,-2.061102,-0.154304,-0.074965,-0.211455,-0.017814,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
KC,2022,1,offensive_epa_per_play,0.044954,0.045702,-0.000747,1.427279,-0.004553,0.003058,-0.010035,0.008540,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
KC,2022,1,point_diff_per_game,5.303960,5.038647,0.265313,0.187556,-0.835693,1.366319,-2.421860,2.952486,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
KC,2022,1,win_pct,0.764920,0.772624,-0.007705,1.368527,-0.039774,0.024365,-0.085974,0.070565,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAC,2022,1,offensive_epa_per_play,0.010015,0.015037,-0.005022,0.444431,-0.005416,-0.004627,-0.005984,-0.004060,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAC,2022,1,point_diff_per_game,-0.285536,1.240627,-1.526163,-0.564387,-1.923462,-1.128865,-2.495831,-0.556496,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAC,2022,1,win_pct,0.545011,0.585177,-0.040166,0.327366,-0.051954,-0.028379,-0.068936,-0.011397,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAR,2022,1,offensive_epa_per_play,-0.068663,-0.053967,-0.014696,-1.780113,-0.021933,-0.007459,-0.032359,0.002967,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAR,2022,1,point_diff_per_game,-0.337169,-7.305860,6.968691,3.001189,6.741439,7.195943,6.414047,7.523335,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LAR,2022,1,win_pct,0.064025,0.163375,-0.099350,-1.570872,-0.142503,-0.056197,-0.204671,0.005971,true,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LV,2022,1,offensive_epa_per_play,-0.015829,-0.007966,-0.007863,-0.208927,-0.010269,-0.005456,-0.013737,-0.001989,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LV,2022,1,point_diff_per_game,-0.713974,-1.608453,0.894479,0.451638,0.448948,1.340011,-0.192908,1.981867,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
LV,2022,1,win_pct,0.399174,0.444564,-0.045390,0.159827,-0.061683,-0.029096,-0.085156,-0.005623,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
MIA,2022,1,offensive_epa_per_play,0.009738,0.015037,-0.005299,0.380644,-0.005880,-0.004718,-0.006717,-0.003881,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
MIA,2022,1,point_diff_per_game,-0.413689,1.240627,-1.654316,-0.618177,-1.853881,-1.454752,-2.141383,-1.167249,false,hierarchical-eb-v0.6.2-offseason,features-0.4.0-offseason,2026-05-18T15:20:37Z
