"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","ingested_at"
"ofs_2023_01_00001","2023-09-07","2023-09-07","free_agency","L/LewiDa00","","ARI","inferred_from_players_metadata","https://www.pro-football-reference.com/players/L/LewiDa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00002","2023-09-07","2023-09-07","free_agency","C/CartMi00","","ARI","inferred_from_players_metadata","https://www.pro-football-reference.com/players/C/CartMi00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00003","2023-09-07","2023-09-07","free_agency","S/ScotEv00","","ATL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/S/ScotEv00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00004","2023-09-07","2023-09-07","free_agency","M/MoorCa00","","ATL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/M/MoorCa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00005","2023-09-07","2023-09-07","free_agency","K/KingIs00","","BAL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/K/KingIs00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00006","2023-09-07","2023-09-07","free_agency","B/BrooJa00","","BAL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/B/BrooJa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00007","2023-09-07","2023-09-07","free_agency","T/TurnOw00","","BUF","inferred_from_players_metadata","https://www.pro-football-reference.com/players/T/TurnOw00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00008","2023-09-07","2023-09-07","free_agency","R/ReedIs00","","BUF","inferred_from_players_metadata","https://www.pro-football-reference.com/players/R/ReedIs00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00009","2023-09-07","2023-09-07","free_agency","J/JohnMi00","","CAR","inferred_from_players_metadata","https://www.pro-football-reference.com/players/J/JohnMi00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00010","2023-09-07","2023-09-07","free_agency","P/PricEv00","","CAR","inferred_from_players_metadata","https://www.pro-football-reference.com/players/P/PricEv00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00011","2023-09-07","2023-09-07","free_agency","W/WhitCa00","","CHI","inferred_from_players_metadata","https://www.pro-football-reference.com/players/W/WhitCa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00012","2023-09-07","2023-09-07","free_agency","H/HarrDa00","","CHI","inferred_from_players_metadata","https://www.pro-football-reference.com/players/H/HarrDa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00013","2023-09-07","2023-09-07","free_agency","M/MoorIs00","","CIN","inferred_from_players_metadata","https://www.pro-football-reference.com/players/M/MoorIs00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00014","2023-09-07","2023-09-07","free_agency","C/CartMi01","","CIN","inferred_from_players_metadata","https://www.pro-football-reference.com/players/C/CartMi01.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00015","2023-09-07","2023-09-07","free_agency","L/LewiEv00","","CLE","inferred_from_players_metadata","https://www.pro-football-reference.com/players/L/LewiEv00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00016","2023-09-07","2023-09-07","free_agency","S/ScotJa00","","CLE","inferred_from_players_metadata","https://www.pro-football-reference.com/players/S/ScotJa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00017","2023-09-07","2023-09-07","free_agency","J/JohnCa00","","DAL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/J/JohnCa00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00018","2023-09-07","2023-09-07","free_agency","B/BrooIs00","","DAL","inferred_from_players_metadata","https://www.pro-football-reference.com/players/B/BrooIs00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00019","2023-09-07","2023-09-07","free_agency","T/TurnMi00","","DEN","inferred_from_players_metadata","https://www.pro-football-reference.com/players/T/TurnMi00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00020","2023-09-07","2023-09-07","free_agency","C/CartEv00","","DEN","inferred_from_players_metadata","https://www.pro-football-reference.com/players/C/CartEv00.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
"ofs_2023_01_00021","2023-09-07","2023-09-07","free_agency","R/ReedIs01","","DET","inferred_from_players_metadata","https://www.pro-football-reference.com/players/R/ReedIs01.htm","2023","regular","1","1","2026-05-05T14:45:34Z"
