team_id,nfl_season,nfl_week,games_played,wins,losses,ties,win_pct,point_diff_per_game,offensive_epa_per_play,aggregated_at
ARI,2023,1,17,5,12,0,0.2941,-3.9375,-0.0262,2026-04-24T18:27:22Z
ATL,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-04-24T18:27:22Z
BAL,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-04-24T18:27:22Z
BUF,2023,1,17,10,7,0,0.5882,3.5625,0.0238,2026-04-24T18:27:22Z
CAR,2023,1,17,6,11,0,0.3235,-3.1875,-0.0213,2026-04-24T18:27:22Z
CHI,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-04-24T18:27:22Z
CIN,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-04-24T18:27:22Z
CLE,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-04-24T18:27:22Z
DAL,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-04-24T18:27:22Z
DEN,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-04-24T18:27:22Z
DET,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-04-24T18:27:22Z
GB,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-04-24T18:27:22Z
HOU,2023,1,17,8,9,0,0.4412,-0.1875,-0.0013,2026-04-24T18:27:22Z
IND,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-04-24T18:27:22Z
JAX,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-04-24T18:27:22Z
KC,2023,1,17,11,6,0,0.6471,5.0625,0.0338,2026-04-24T18:27:22Z
LAC,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-04-24T18:27:22Z
LAR,2023,1,17,8,9,0,0.4412,-0.1875,-0.0013,2026-04-24T18:27:22Z
LV,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-04-24T18:27:22Z
MIA,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-04-24T18:27:22Z
MIN,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-04-24T18:27:22Z
NE,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-04-24T18:27:22Z
NO,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-04-24T18:27:22Z
NYG,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-04-24T18:27:22Z
NYJ,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-04-24T18:27:22Z
PHI,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-04-24T18:27:22Z
PIT,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-04-24T18:27:22Z
SEA,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-04-24T18:27:22Z
SF,2023,1,17,10,7,0,0.6176,4.3125,0.0288,2026-04-24T18:27:22Z
TB,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-04-24T18:27:22Z
TEN,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-04-24T18:27:22Z
WAS,2023,1,17,6,11,0,0.3235,-3.1875,-0.0213,2026-04-24T18:27:22Z
