team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2024,1,offensive_epa_per_play,-0.006434,-0.001988,-0.004447,0.571649,-0.007884,-0.001010,-0.012835,0.003942,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
ARI,2024,1,point_diff_per_game,-0.097979,7.543078,-7.641057,0.489401,-9.667097,-5.615017,-12.585916,-2.696198,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
ARI,2024,1,win_pct,0.449429,0.460095,-0.010665,0.528000,-0.034553,0.013222,-0.068966,0.047635,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
ATL,2024,1,offensive_epa_per_play,-0.002125,0.006457,-0.008582,-0.770459,-0.012019,-0.005145,-0.016971,-0.000193,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
ATL,2024,1,point_diff_per_game,-0.355831,8.742759,-9.098590,-0.197289,-11.124630,-7.072550,-14.043449,-4.153731,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
ATL,2024,1,win_pct,0.461318,0.510551,-0.049233,-0.981366,-0.073120,-0.025345,-0.107533,0.009068,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BAL,2024,1,offensive_epa_per_play,0.037091,0.040236,-0.003145,0.994099,-0.006582,0.000292,-0.011534,0.005244,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BAL,2024,1,point_diff_per_game,6.503559,13.541485,-7.037926,0.773555,-9.063965,-5.011886,-11.982785,-2.093066,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BAL,2024,1,win_pct,0.708402,0.712375,-0.003974,0.789882,-0.027861,0.019913,-0.062274,0.054326,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BUF,2024,1,offensive_epa_per_play,0.043624,0.048680,-0.005056,0.373885,-0.008493,-0.001619,-0.013445,0.003333,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BUF,2024,1,point_diff_per_game,5.893863,14.741166,-8.847303,-0.078899,-10.873343,-6.821263,-13.792162,-3.902444,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
BUF,2024,1,win_pct,0.753204,0.762832,-0.009627,0.568620,-0.033515,0.014260,-0.067928,0.048673,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CAR,2024,1,offensive_epa_per_play,-0.026370,-0.018870,-0.007500,-0.419207,-0.010937,-0.004063,-0.015889,0.000889,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CAR,2024,1,point_diff_per_game,-9.178174,5.144671,-14.322845,-2.658599,-16.348885,-12.296805,-19.267705,-9.377986,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CAR,2024,1,win_pct,0.325305,0.359223,-0.033918,-0.381995,-0.057805,-0.010030,-0.092218,0.024383,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CHI,2024,1,offensive_epa_per_play,-0.031965,-0.027315,-0.004651,0.505455,-0.008088,-0.001214,-0.013039,0.003738,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CHI,2024,1,point_diff_per_game,-4.136822,3.944989,-8.081812,0.281748,-10.107851,-6.055772,-13.026671,-3.136952,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CHI,2024,1,win_pct,0.286623,0.308767,-0.022143,0.078794,-0.046031,0.001744,-0.080444,0.036157,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CIN,2024,1,offensive_epa_per_play,0.011458,0.014902,-0.003444,0.897161,-0.006881,-0.000007,-0.011833,0.004945,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CIN,2024,1,point_diff_per_game,4.119758,9.942441,-5.822683,1.346094,-7.848723,-3.796643,-10.767542,-0.877823,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CIN,2024,1,win_pct,0.545846,0.561007,-0.015161,0.352043,-0.039049,0.008726,-0.073462,0.043139,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CLE,2024,1,offensive_epa_per_play,-0.043942,-0.035759,-0.008183,-0.640921,-0.011620,-0.004746,-0.016572,0.000206,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CLE,2024,1,point_diff_per_game,-6.999817,2.745308,-9.745125,-0.501891,-11.771164,-7.719085,-14.689984,-4.800265,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
CLE,2024,1,win_pct,0.213582,0.258311,-0.044729,-0.805098,-0.068616,-0.020841,-0.103029,0.013572,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DAL,2024,1,offensive_epa_per_play,-0.006979,-0.001988,-0.004991,0.394949,-0.008428,-0.001554,-0.013380,0.003398,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DAL,2024,1,point_diff_per_game,0.982706,7.543078,-6.560372,0.998546,-8.586412,-4.534332,-11.505232,-1.615513,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DAL,2024,1,win_pct,0.434802,0.460095,-0.025293,-0.044480,-0.049180,-0.001406,-0.083594,0.033007,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DEN,2024,1,offensive_epa_per_play,0.013418,0.023346,-0.009928,-1.207328,-0.013365,-0.006491,-0.018317,-0.001539,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DEN,2024,1,point_diff_per_game,1.919658,11.142122,-9.222464,-0.255649,-11.248504,-7.196424,-14.167323,-4.277604,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DEN,2024,1,win_pct,0.546240,0.611463,-0.065223,-1.607185,-0.089111,-0.041336,-0.123524,-0.006923,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DET,2024,1,offensive_epa_per_play,0.051361,0.057125,-0.005764,0.144002,-0.009201,-0.002327,-0.014153,0.002624,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DET,2024,1,point_diff_per_game,6.359006,15.940848,-9.581842,-0.424964,-11.607881,-7.555802,-14.526701,-4.636982,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
DET,2024,1,win_pct,0.787091,0.813288,-0.026197,-0.079828,-0.050084,-0.002309,-0.084497,0.032104,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
GB,2024,1,offensive_epa_per_play,0.016925,0.023346,-0.006422,-0.069322,-0.009859,-0.002985,-0.014810,0.001967,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
GB,2024,1,point_diff_per_game,7.863214,11.142122,-3.278908,2.544547,-5.304948,-1.252869,-8.223768,1.665951,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
GB,2024,1,win_pct,0.593426,0.611463,-0.018037,0.239495,-0.041924,0.005850,-0.076337,0.040263,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
HOU,2024,1,offensive_epa_per_play,0.016306,0.023346,-0.007041,-0.270296,-0.010478,-0.003604,-0.015430,0.001348,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
HOU,2024,1,point_diff_per_game,2.149509,11.142122,-8.992613,-0.147360,-11.018653,-6.966574,-13.937473,-4.047754,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
HOU,2024,1,win_pct,0.581224,0.611463,-0.030239,-0.238030,-0.054126,-0.006352,-0.088539,0.028061,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
IND,2024,1,offensive_epa_per_play,-0.002535,0.006457,-0.008992,-0.903621,-0.012429,-0.005555,-0.017381,-0.000603,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-08T19:24:31Z
