team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2017,1,offensive_epa_per_play,0.010420,0.011528,-0.001109,-0.418874,-0.002377,0.000160,-0.004205,0.001988,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2017,1,point_diff_per_game,1.982259,3.867623,-1.885363,0.380339,-4.138806,0.368080,-7.385235,3.614509,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2017,1,win_pct,0.546723,0.460120,0.086604,0.763015,-0.001667,0.174874,-0.128833,0.302041,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2018,1,offensive_epa_per_play,-0.042573,-0.041567,-0.001007,-0.164324,-0.002275,0.000262,-0.004103,0.002090,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2018,1,point_diff_per_game,-5.013017,-3.630215,-1.382802,0.800758,-3.636245,0.870641,-6.882674,4.117070,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2018,1,win_pct,0.138003,0.136608,0.001395,-0.532112,-0.086875,0.089665,-0.214042,0.216832,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2019,1,offensive_epa_per_play,-0.016181,-0.014952,-0.001228,-0.717811,-0.002497,0.000041,-0.004324,0.001868,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2019,1,point_diff_per_game,-4.293793,0.128126,-4.421919,-1.741624,-6.675362,-2.168476,-9.921791,1.077953,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2019,1,win_pct,0.395997,0.298770,0.097227,0.924480,0.008957,0.185497,-0.118210,0.312664,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
ARI,2020,1,offensive_epa_per_play,0.004747,0.005879,-0.001132,-0.478474,-0.002401,0.000136,-0.004229,0.001964,true,baseline-ridge-v0.4.0-offseason,features-0.4.0-offseason,2026-05-18T15:20:39Z
