player_id,full_name,position_group,position,birth_date,rookie_year,experience_years,active_status,source,normalized_at
AbraJo01,Johnathan Abram,other,UNK,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AbraMi00,Micah Abraham,other,DB,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AdamDa01,Davante Adams,offense_skill,WR,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AdamJa00,Jamal Adams,other,DB,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AdamRo01,Rodney Adams,offense_skill,WR,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AdebPa00,Paulson Adebo,other,DB,1900-01-01,2020,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:29Z
AgimMc00,McTelvin Agim,other,UNK,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AiyuBr00,Brandon Aiyuk,offense_skill,WR,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AjayJa00,Jay Ajayi,offense_skill,RB,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AkerCa00,Cam Akers,offense_skill,RB,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AlbeBr20,Branden Albert,other,UNK,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlexD.00,DJ Alexander,defense_second_level,LB,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlexJa00,Jaire Alexander,other,DB,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlexKw00,Kwon Alexer,defense_second_level,LB,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AlleBr02,Brian Allen,other,UNK,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlleDw00,Dwayne Allen,offense_skill,TE,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlleJo02,Josh Allen,offense_skill,QB,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AlleKe00,Keenan Allen,offense_skill,WR,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AlleKy00,Kyle Allen,other,UNK,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AlleLe01,LeQuint Allen,offense_skill,RB,1900-01-01,2024,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:31Z
AlonKi00,Kiko Alonso,defense_second_level,LB,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AmadUg00,Ugo Amadi,other,DB,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AnchTr00,Tremayne Anchrum,other,UNK,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AndeHe00,Henry Anderson,defense_front,DL,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AndeJa01,Jack Anderson,other,UNK,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AndeRo04,Robbie Anderson,offense_skill,WR,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AndeTy00,Tycen Anderson,other,UNK,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
AndrMa00,Mark Andrews,offense_skill,TE,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AnkoEl00,Eli Ankou,other,UNK,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
ApkeTr00,Troy Apke,other,DB,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
ApplEl00,Eli Apple,other,DB,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AraiMa00,Matt Araiza,other,UNK,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
ArceJJ00,JJ Arcega-Whiteside,offense_skill,TE,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
ArcuAJ00,AJ Arcuri,other,UNK,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
ArmsCo00,Cornell Armstrong,other,DB,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
ArmsRy00,Ryquell Armstead,offense_skill,RB,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
ArneDa00,Damon Arnette,other,UNK,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
ArnoDa00,Dan Arnold,offense_skill,TE,1900-01-01,2020,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:29Z
AsafGe00,George Asafo-Adjei,other,UNK,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AshbJu00,Julian Ashby,other,UNK,1900-01-01,2024,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:31Z
AsiaDe00,Devin Asiasi,offense_skill,TE,1900-01-01,2019,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AsiaIs00,Isaac Asiata,other,UNK,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AustBl00,Blessuan Austin,other,DB,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AustTa00,Tavon Austin,offense_skill,WR,1900-01-01,2017,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
AverGe00,Genard Avery,defense_second_level,LB,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
AyomEl00,Elic Ayomanor,offense_skill,WR,1900-01-01,2024,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:31Z
BadeJo00,Johnson Bademosi,other,UNK,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
BailJa00,Jake Bailey,special_teams,P,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
BakeBu00,Budda Baker,other,DB,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
BakeDe00,Deandre Baker,other,DB,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
BakeJa00,Javon Baker,offense_skill,WR,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
BakeJe00,Jerome Baker,defense_second_level,LB,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
BallKa00,Kalen Ballage,other,UNK,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
BankAa00,Aaron Banks,other,UNK,1900-01-01,2020,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:29Z
BannZa00,Zach Banner,other,UNK,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
BanoBe00,Ben Banogu,defense_front,DL,1900-01-01,2018,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:28Z
BarbAl20,Allen Barbre,other,UNK,1900-01-01,2016,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:27Z
BarmCh00,Christian Barmore,defense_front,DL,1900-01-01,2020,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:29Z
BarnAJ00,AJ Barner,offense_skill,TE,1900-01-01,2023,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
BarnAm00,Amare Barno,other,UNK,1900-01-01,2021,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:30Z
BarnDe02,Derrick Barnes,defense_second_level,LB,1900-01-01,2020,1,active,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2026-05-08T19:24:29Z
