team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2022,1,0.094340,5,0,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5219,7.5219,-0.6220,0.4.0-offseason,2026-04-24T18:27:22Z
ATL,2022,1,0.037736,2,0,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0678,3.5678,-0.1181,0.4.0-offseason,2026-04-24T18:27:22Z
BAL,2022,1,0.056604,3,0,0.0000,0.0000,0.0000,2.1000,0.0000,0.0000,1.8555,3.9555,0.2598,0.4.0-offseason,2026-04-24T18:27:22Z
BUF,2022,1,0.169811,9,0,1.6000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4980,10.0980,0.5118,0.4.0-offseason,2026-04-24T18:27:22Z
CAR,2022,1,0.094340,5,0,6.5000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0136,9.5136,-0.1181,0.4.0-offseason,2026-04-24T18:27:22Z
CHI,2022,1,0.207547,11,0,5.0000,0.0000,0.0000,2.1000,0.0000,0.0000,7.4450,14.5450,-0.6220,0.4.0-offseason,2026-04-24T18:27:22Z
CIN,2022,1,0.037736,2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6846,1.6846,0.5118,0.4.0-offseason,2026-04-24T18:27:22Z
CLE,2022,1,0.094340,5,0,6.5000,0.0000,1.0000,2.1000,0.0000,0.0000,1.8379,11.4379,-0.1181,0.4.0-offseason,2026-04-24T18:27:22Z
DAL,2022,1,0.018868,1,0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0895,0.9105,0.3858,0.4.0-offseason,2026-04-24T18:27:22Z
DEN,2022,1,0.132075,7,0,5.6000,0.0000,1.0000,0.0000,0.0000,0.0000,3.7397,10.3397,-0.3701,0.4.0-offseason,2026-04-24T18:27:22Z
DET,2022,1,0.056604,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6275,2.6275,0.1339,0.4.0-offseason,2026-04-24T18:27:22Z
