move_id,event_date,effective_date,move_type,player_id,from_team_id,to_team_id,contract_aav,contract_total,contract_years,transaction_detail,source,nfl_season,season_phase,phase_week,nfl_week,season_anomaly,ingested_at
ofs_2022_01_00005,2022-09-08,2022-09-08,free_agency,name:a-j-green:wr,,ARI,3500000,3500000,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00006,2022-09-08,2022-09-08,free_agency,name:aaron-brewer:lslb,,ARI,1272500,1272500,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00007,2022-09-08,2022-09-08,free_agency,name:andy-isabella:wr,,ARI,1157469,,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00008,2022-09-08,2022-09-08,free_agency,name:andy-lee:p,,ARI,1500000,1500000,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00009,2022-09-08,2022-09-08,trade,name:antwaun-woods:dt,IND,ARI,1035000,1035000,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00010,2022-09-08,2022-09-08,trade,name:ben-niemann:lb,KC,ARI,1035000,1035000,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00011,2022-09-08,2022-09-08,free_agency,name:changa-hodge:wr,,ARI,0,,,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00012,2022-09-08,2022-09-08,free_agency,name:charles-washington:s,,ARI,1187500,1187500,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00013,2022-09-08,2022-09-08,free_agency,name:chris-pierce-jr:te,,ARI,0,,,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00014,2022-09-08,2022-09-08,trade,name:christian-blake:wr,ATL,ARI,965000,965000,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
ofs_2022_01_00015,2022-09-08,2022-09-08,free_agency,name:christian-ringo:dt,,ARI,920000,,1,inferred_from_players_metadata,https://www.spotrac.com/nfl/free-agents/signed/_/year/2022,2022,regular,1,1,,2026-05-08T18:55:50Z
