team_id,nfl_season,nfl_week,games_played,wins,losses,ties,win_pct,point_diff_per_game,offensive_epa_per_play,aggregated_at
ARI,2022,1,17,3,14,0,0.1765,-7.4062,-0.0494,2026-05-05T14:41:02Z
ATL,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
BAL,2022,1,17,10,7,0,0.5882,3.0938,0.0206,2026-05-05T14:41:02Z
BUF,2022,1,17,12,5,0,0.7059,6.0938,0.0406,2026-05-05T14:41:02Z
CAR,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
CHI,2022,1,17,3,14,0,0.1765,-7.4062,-0.0494,2026-05-05T14:41:02Z
CIN,2022,1,17,12,5,0,0.7059,6.0938,0.0406,2026-05-05T14:41:02Z
CLE,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
DAL,2022,1,17,11,6,0,0.6471,4.5938,0.0306,2026-05-05T14:41:02Z
DEN,2022,1,17,5,12,0,0.2941,-4.4062,-0.0294,2026-05-05T14:41:02Z
DET,2022,1,17,9,8,0,0.5294,1.5938,0.0106,2026-05-05T14:41:02Z
GB,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
HOU,2022,1,17,4,13,0,0.2059,-6.6562,-0.0444,2026-05-05T14:41:02Z
IND,2022,1,17,4,13,0,0.2647,-5.1562,-0.0344,2026-05-05T14:41:02Z
JAX,2022,1,17,9,8,0,0.5294,1.5938,0.0106,2026-05-05T14:41:02Z
KC,2022,1,17,13,4,0,0.7647,7.5938,0.0506,2026-05-05T14:41:02Z
LAC,2022,1,17,9,8,0,0.5294,1.5938,0.0106,2026-05-05T14:41:02Z
LAR,2022,1,17,0,17,0,0.0000,-11.9062,-0.0794,2026-05-05T14:41:02Z
LV,2022,1,17,6,11,0,0.3529,-2.9062,-0.0194,2026-05-05T14:41:02Z
MIA,2022,1,17,9,8,0,0.5294,1.5938,0.0106,2026-05-05T14:41:02Z
MIN,2022,1,17,13,4,0,0.7647,7.5938,0.0506,2026-05-05T14:41:02Z
NE,2022,1,17,8,9,0,0.4706,0.0938,0.0006,2026-05-05T14:41:02Z
NO,2022,1,17,6,11,0,0.3529,-2.9062,-0.0194,2026-05-05T14:41:02Z
NYG,2022,1,17,10,7,0,0.5588,2.3438,0.0156,2026-05-05T14:41:02Z
NYJ,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
PHI,2022,1,17,14,3,0,0.8235,9.0938,0.0606,2026-05-05T14:41:02Z
PIT,2022,1,17,9,8,0,0.5294,1.5938,0.0106,2026-05-05T14:41:02Z
SEA,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
SF,2022,1,17,11,6,0,0.6471,4.5938,0.0306,2026-05-05T14:41:02Z
TB,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
TEN,2022,1,17,7,10,0,0.4118,-1.4062,-0.0094,2026-05-05T14:41:02Z
WAS,2022,1,17,8,9,0,0.5000,0.8438,0.0056,2026-05-05T14:41:02Z
ARI,2023,1,17,5,12,0,0.2941,-3.9375,-0.0262,2026-05-05T14:45:34Z
ATL,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-05-05T14:45:34Z
BAL,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-05-05T14:45:34Z
BUF,2023,1,17,10,7,0,0.5882,3.5625,0.0238,2026-05-05T14:45:34Z
CAR,2023,1,17,6,11,0,0.3235,-3.1875,-0.0213,2026-05-05T14:45:34Z
CHI,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-05-05T14:45:34Z
CIN,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-05-05T14:45:34Z
CLE,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-05-05T14:45:34Z
DAL,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-05-05T14:45:34Z
DEN,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-05-05T14:45:34Z
DET,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-05-05T14:45:34Z
GB,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-05-05T14:45:34Z
HOU,2023,1,17,8,9,0,0.4412,-0.1875,-0.0013,2026-05-05T14:45:34Z
IND,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-05-05T14:45:34Z
JAX,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-05-05T14:45:34Z
KC,2023,1,17,11,6,0,0.6471,5.0625,0.0338,2026-05-05T14:45:34Z
LAC,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-05-05T14:45:34Z
LAR,2023,1,17,8,9,0,0.4412,-0.1875,-0.0013,2026-05-05T14:45:34Z
LV,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-05-05T14:45:34Z
MIA,2023,1,17,8,9,0,0.5000,1.3125,0.0088,2026-05-05T14:45:34Z
MIN,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-05-05T14:45:34Z
NE,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-05-05T14:45:34Z
NO,2023,1,17,7,10,0,0.4118,-0.9375,-0.0063,2026-05-05T14:45:34Z
NYG,2023,1,17,6,11,0,0.3529,-2.4375,-0.0163,2026-05-05T14:45:34Z
NYJ,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-05-05T14:45:34Z
PHI,2023,1,17,10,7,0,0.5588,2.8125,0.0187,2026-05-05T14:45:34Z
PIT,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-05-05T14:45:34Z
SEA,2023,1,17,8,9,0,0.4706,0.5625,0.0037,2026-05-05T14:45:34Z
SF,2023,1,17,10,7,0,0.6176,4.3125,0.0288,2026-05-05T14:45:34Z
TB,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-05-05T14:45:34Z
TEN,2023,1,17,6,11,0,0.3824,-1.6875,-0.0112,2026-05-05T14:45:34Z
WAS,2023,1,17,6,11,0,0.3235,-3.1875,-0.0213,2026-05-05T14:45:34Z
ARI,2024,1,17,4,13,0,0.2647,-5.2031,-0.0347,2026-05-05T14:45:35Z
ATL,2024,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-05-05T14:45:35Z
BAL,2024,1,17,10,7,0,0.5882,3.0469,0.0203,2026-05-05T14:45:35Z
BUF,2024,1,17,10,7,0,0.6176,3.7969,0.0253,2026-05-05T14:45:35Z
CAR,2024,1,17,6,11,0,0.3235,-3.7031,-0.0247,2026-05-05T14:45:35Z
CHI,2024,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-05-05T14:45:35Z
CIN,2024,1,17,10,7,0,0.5882,3.0469,0.0203,2026-05-05T14:45:35Z
CLE,2024,1,17,9,8,0,0.5294,1.5469,0.0103,2026-05-05T14:45:35Z
DAL,2024,1,17,10,7,0,0.5588,2.2969,0.0153,2026-05-05T14:45:35Z
DEN,2024,1,17,6,11,0,0.3824,-2.2031,-0.0147,2026-05-05T14:45:35Z
DET,2024,1,17,9,8,0,0.5294,1.5469,0.0103,2026-05-05T14:45:35Z
GB,2024,1,17,8,9,0,0.5000,0.7969,0.0053,2026-05-05T14:45:35Z
HOU,2024,1,17,8,9,0,0.4706,0.0469,0.0003,2026-05-05T14:45:35Z
IND,2024,1,17,8,9,0,0.4412,-0.7031,-0.0047,2026-05-05T14:45:35Z
JAX,2024,1,17,8,9,0,0.5000,0.7969,0.0053,2026-05-05T14:45:35Z
KC,2024,1,17,12,5,0,0.6765,5.2969,0.0353,2026-05-05T14:45:35Z
LAC,2024,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-05-05T14:45:35Z
LAR,2024,1,17,8,9,0,0.4706,0.0469,0.0003,2026-05-05T14:45:35Z
LV,2024,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-05-05T14:45:35Z
MIA,2024,1,17,9,8,0,0.5294,1.5469,0.0103,2026-05-05T14:45:35Z
MIN,2024,1,17,8,9,0,0.4412,-0.7031,-0.0047,2026-05-05T14:45:35Z
NE,2024,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-05-05T14:45:35Z
NO,2024,1,17,8,9,0,0.4412,-0.7031,-0.0047,2026-05-05T14:45:35Z
NYG,2024,1,17,6,11,0,0.3824,-2.2031,-0.0147,2026-05-05T14:45:35Z
NYJ,2024,1,17,8,9,0,0.5000,0.7969,0.0053,2026-05-05T14:45:35Z
PHI,2024,1,17,10,7,0,0.5882,3.0469,0.0203,2026-05-05T14:45:35Z
PIT,2024,1,17,8,9,0,0.4706,0.0469,0.0003,2026-05-05T14:45:35Z
SEA,2024,1,17,8,9,0,0.5000,0.7969,0.0053,2026-05-05T14:45:35Z
SF,2024,1,17,11,6,0,0.6471,4.5469,0.0303,2026-05-05T14:45:35Z
TB,2024,1,17,6,11,0,0.3824,-2.2031,-0.0147,2026-05-05T14:45:35Z
TEN,2024,1,17,6,11,0,0.3824,-2.2031,-0.0147,2026-05-05T14:45:35Z
WAS,2024,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-05-05T14:45:35Z
ARI,2025,1,17,3,14,0,0.1765,-7.4531,-0.0497,2026-05-05T14:41:02Z
ATL,2025,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-05-05T14:41:02Z
BAL,2025,1,17,8,9,0,0.4706,0.0469,0.0003,2026-05-05T14:41:02Z
BUF,2025,1,17,12,5,0,0.7059,6.0469,0.0403,2026-05-05T14:41:02Z
CAR,2025,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-05-05T14:41:02Z
CHI,2025,1,17,11,6,0,0.6471,4.5469,0.0303,2026-05-05T14:41:02Z
CIN,2025,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-05-05T14:41:02Z
CLE,2025,1,17,5,12,0,0.2941,-4.4531,-0.0297,2026-05-05T14:41:02Z
DAL,2025,1,17,8,9,0,0.4412,-0.7031,-0.0047,2026-05-05T14:41:02Z
DEN,2025,1,17,14,3,0,0.8235,9.0469,0.0603,2026-05-05T14:41:02Z
DET,2025,1,17,9,8,0,0.5294,1.5469,0.0103,2026-05-05T14:41:02Z
GB,2025,1,17,10,7,0,0.5588,2.2969,0.0153,2026-05-05T14:41:02Z
HOU,2025,1,17,12,5,0,0.7059,6.0469,0.0403,2026-05-05T14:41:02Z
IND,2025,1,17,8,9,0,0.4706,0.0469,0.0003,2026-05-05T14:41:02Z
JAX,2025,1,17,13,4,0,0.7647,7.5469,0.0503,2026-05-05T14:41:02Z
KC,2025,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-05-05T14:41:02Z
