team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2025,1,offensive_epa_per_play,-0.042985,-0.042985,0.000000,0.000000,-0.003246,0.003246,-0.007922,0.007922,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
ARI,2025,1,point_diff_per_game,-6.445791,-6.445791,0.000000,0.000000,-0.486851,0.486851,-1.188235,1.188235,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
ARI,2025,1,win_pct,0.215981,0.215981,0.000000,0.000000,-0.019092,0.019092,-0.046597,0.046597,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
ATL,2025,1,offensive_epa_per_play,-0.008394,-0.008394,0.000000,0.000000,-0.003246,0.003246,-0.007922,0.007922,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
ATL,2025,1,point_diff_per_game,-1.257142,-1.257142,0.000000,0.000000,-0.486851,0.486851,-1.188235,1.188235,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
ATL,2025,1,win_pct,0.419453,0.419453,0.000000,0.000000,-0.019092,0.019092,-0.046597,0.046597,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BAL,2025,1,offensive_epa_per_play,0.000256,0.000256,0.000000,0.000000,-0.003246,0.003246,-0.007922,0.007922,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BAL,2025,1,point_diff_per_game,0.040279,0.040279,0.000000,0.000000,-0.486851,0.486851,-1.188235,1.188235,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BAL,2025,1,win_pct,0.470332,0.470332,0.000000,0.000000,-0.019092,0.019092,-0.046597,0.046597,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BUF,2025,1,offensive_epa_per_play,0.034854,0.034854,0.000000,0.000000,-0.003246,0.003246,-0.007922,0.007922,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BUF,2025,1,point_diff_per_game,5.229962,5.229962,0.000000,0.000000,-0.486851,0.486851,-1.188235,1.188235,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
BUF,2025,1,win_pct,0.673845,0.673845,0.000000,0.000000,-0.019092,0.019092,-0.046597,0.046597,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
CAR,2025,1,offensive_epa_per_play,-0.008394,-0.008394,0.000000,0.000000,-0.003246,0.003246,-0.007922,0.007922,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
CAR,2025,1,point_diff_per_game,-1.257142,-1.257142,0.000000,0.000000,-0.486851,0.486851,-1.188235,1.188235,true,hierarchical-eb-v0.2.0-offseason,features-0.4.0-offseason,2026-05-05T19:29:38Z
