team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2025,1,offensive_epa_per_play,-0.043286,-0.044682,0.001396,-0.814823,-0.002322,0.005115,-0.007679,0.010471,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
ARI,2025,1,point_diff_per_game,-6.491005,-6.700459,0.209455,-0.814823,-0.348278,0.767187,-1.151776,1.570686,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
ARI,2025,1,win_pct,0.214213,0.205994,0.008219,-0.814603,-0.013653,0.030090,-0.045162,0.061600,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
ATL,2025,1,offensive_epa_per_play,-0.008007,-0.012530,0.004523,-0.049888,0.000805,0.008242,-0.004552,0.013598,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
ATL,2025,1,point_diff_per_game,-1.199104,-1.877601,0.678496,-0.049888,0.120764,1.236229,-0.682735,2.039727,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
ATL,2025,1,win_pct,0.421734,0.395122,0.026612,-0.049696,0.004740,0.048483,-0.026769,0.079992,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BAL,2025,1,offensive_epa_per_play,0.000918,-0.004490,0.005408,0.166491,0.001690,0.009126,-0.003667,0.014483,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BAL,2025,1,point_diff_per_game,0.139530,-0.671646,0.811175,0.166491,0.253443,1.368908,-0.550056,2.172406,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BAL,2025,1,win_pct,0.474219,0.442414,0.031805,0.166277,0.009933,0.053676,-0.021576,0.085185,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BUF,2025,1,offensive_epa_per_play,0.032718,0.027668,0.005050,0.078918,0.001332,0.008768,-0.004025,0.014125,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BUF,2025,1,point_diff_per_game,4.909651,4.152174,0.757477,0.078918,0.199745,1.315209,-0.603754,2.118708,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
BUF,2025,1,win_pct,0.661297,0.631580,0.029718,0.079490,0.007847,0.051589,-0.023663,0.083099,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CAR,2025,1,offensive_epa_per_play,-0.007291,-0.012530,0.005239,0.125131,0.001521,0.008957,-0.003836,0.014314,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CAR,2025,1,point_diff_per_game,-1.091787,-1.877601,0.785814,0.125131,0.228081,1.343546,-0.575417,2.147045,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CAR,2025,1,win_pct,0.425932,0.395122,0.030809,0.124882,0.008938,0.052681,-0.022571,0.084190,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CHI,2025,1,offensive_epa_per_play,0.027697,0.019629,0.008068,0.817340,0.004350,0.011787,-0.001006,0.017143,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CHI,2025,1,point_diff_per_game,4.156481,2.946219,1.210262,0.817340,0.652529,1.767994,-0.150969,2.571493,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CHI,2025,1,win_pct,0.631764,0.584288,0.047476,0.818007,0.025605,0.069348,-0.005905,0.100857,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CIN,2025,1,offensive_epa_per_play,-0.020570,-0.020570,0.000000,-1.156411,-0.003718,0.003718,-0.009075,0.009075,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
CIN,2025,1,point_diff_per_game,-3.083556,-3.083556,0.000000,-1.156411,-0.557732,0.557732,-1.361231,1.361231,true,hierarchical-eb-v0.3.0-offseason-consolidated,features-0.4.0-offseason,2026-04-24T18:27:14Z
