team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2025,1,0.037736,2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,-0.6235,0.4.0-offseason,2026-04-24T18:27:14Z
ATL,2025,1,0.075472,4,0,0.0000,0.0000,1.0000,2.1000,0.0000,0.0000,2.0000,5.1000,-0.1216,0.4.0-offseason,2026-04-24T18:27:14Z
BAL,2025,1,0.056604,3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,2.0000,2.7000,0.0039,0.4.0-offseason,2026-04-24T18:27:14Z
BUF,2025,1,0.075472,4,0,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,1.0000,4.0000,0.5059,0.4.0-offseason,2026-04-24T18:27:14Z
CAR,2025,1,0.094340,5,0,2.5000,0.0000,0.0000,4.2000,0.0000,0.0000,2.0000,8.7000,-0.1216,0.4.0-offseason,2026-04-24T18:27:14Z
CHI,2025,1,0.150943,8,0,0.0000,0.0000,2.0000,2.1000,0.0000,0.0000,5.0000,9.1000,0.3804,0.4.0-offseason,2026-04-24T18:27:14Z
CIN,2025,1,0.000000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2471,0.4.0-offseason,2026-04-24T18:27:14Z
CLE,2025,1,0.132075,7,0,13.7000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,15.7000,-0.3725,0.4.0-offseason,2026-04-24T18:27:14Z
DAL,2025,1,0.113208,6,0,6.5000,0.0000,1.0000,4.2000,0.0000,0.0000,1.0000,12.7000,-0.0588,0.4.0-offseason,2026-04-24T18:27:14Z
DEN,2025,1,0.188679,10,0,5.9000,0.0000,2.0000,2.1000,0.0000,0.6000,3.0000,13.6000,0.7569,0.4.0-offseason,2026-04-24T18:27:14Z
DET,2025,1,0.094340,5,0,2.5000,0.0000,0.0000,0.0000,0.0000,0.7000,3.0000,6.2000,0.1294,0.4.0-offseason,2026-04-24T18:27:14Z
GB,2025,1,0.037736,2,0,0.0000,0.0000,0.0000,2.1000,0.0000,0.0000,1.0000,3.1000,0.1922,0.4.0-offseason,2026-04-24T18:27:14Z
HOU,2025,1,0.320755,17,0,18.3000,0.0000,2.0000,0.0000,0.0000,0.6000,6.0000,26.9000,0.5059,0.4.0-offseason,2026-04-24T18:27:14Z
IND,2025,1,0.018868,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0039,0.4.0-offseason,2026-04-24T18:27:14Z
JAX,2025,1,0.150943,8,0,10.7000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,13.7000,0.6314,0.4.0-offseason,2026-04-24T18:27:14Z
KC,2025,1,0.075472,4,0,1.6000,0.0000,1.0000,2.1000,0.0000,0.0000,1.0000,5.7000,-0.2471,0.4.0-offseason,2026-04-24T18:27:14Z
LAC,2025,1,0.037736,2,0,1.8000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.8000,0.3804,0.4.0-offseason,2026-04-24T18:27:14Z
LAR,2025,1,0.000000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.4.0-offseason,2026-04-24T18:27:14Z
LV,2025,1,0.150943,8,0,10.5000,0.0000,2.0000,0.0000,0.0000,0.0000,3.0000,15.5000,-0.6235,0.4.0-offseason,2026-04-24T18:27:14Z
MIA,2025,1,0.094340,5,0,3.4000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,6.4000,-0.1216,0.4.0-offseason,2026-04-24T18:27:14Z
MIN,2025,1,0.150943,8,0,12.4000,0.0000,1.0000,4.2000,0.0000,0.0000,0.0000,17.6000,0.1294,0.4.0-offseason,2026-04-24T18:27:14Z
NE,2025,1,0.150943,8,0,1.6000,0.0000,1.0000,2.1000,0.0000,0.7000,4.0000,9.4000,0.7569,0.4.0-offseason,2026-04-24T18:27:14Z
NO,2025,1,0.075472,4,0,2.5000,0.0000,1.0000,0.0000,0.0000,0.0000,2.0000,5.5000,-0.2471,0.4.0-offseason,2026-04-24T18:27:14Z
NYG,2025,1,0.018868,1,0,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,-0.4980,0.4.0-offseason,2026-04-24T18:27:14Z
NYJ,2025,1,0.075472,4,0,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,1.0000,4.0000,-0.6235,0.4.0-offseason,2026-04-24T18:27:14Z
PHI,2025,1,0.283019,15,0,14.5000,0.0000,2.0000,4.2000,0.0000,0.0000,7.0000,27.7000,0.2549,0.4.0-offseason,2026-04-24T18:27:14Z
PIT,2025,1,0.094340,5,0,4.3000,0.0000,1.0000,2.1000,0.0000,0.0000,1.0000,8.4000,0.2549,0.4.0-offseason,2026-04-24T18:27:14Z
