team_id,nfl_season,nfl_week,games_played,wins,losses,ties,win_pct,point_diff_per_game,offensive_epa_per_play,aggregated_at
ARI,2025,1,17,3,14,0,0.1765,-7.4531,-0.0497,2026-04-24T18:27:14Z
ATL,2025,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-04-24T18:27:14Z
BAL,2025,1,17,8,9,0,0.4706,0.0469,0.0003,2026-04-24T18:27:14Z
BUF,2025,1,17,12,5,0,0.7059,6.0469,0.0403,2026-04-24T18:27:14Z
CAR,2025,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-04-24T18:27:14Z
CHI,2025,1,17,11,6,0,0.6471,4.5469,0.0303,2026-04-24T18:27:14Z
CIN,2025,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-04-24T18:27:14Z
CLE,2025,1,17,5,12,0,0.2941,-4.4531,-0.0297,2026-04-24T18:27:14Z
DAL,2025,1,17,8,9,0,0.4412,-0.7031,-0.0047,2026-04-24T18:27:14Z
DEN,2025,1,17,14,3,0,0.8235,9.0469,0.0603,2026-04-24T18:27:14Z
DET,2025,1,17,9,8,0,0.5294,1.5469,0.0103,2026-04-24T18:27:14Z
GB,2025,1,17,10,7,0,0.5588,2.2969,0.0153,2026-04-24T18:27:14Z
HOU,2025,1,17,12,5,0,0.7059,6.0469,0.0403,2026-04-24T18:27:14Z
IND,2025,1,17,8,9,0,0.4706,0.0469,0.0003,2026-04-24T18:27:14Z
JAX,2025,1,17,13,4,0,0.7647,7.5469,0.0503,2026-04-24T18:27:14Z
KC,2025,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-04-24T18:27:14Z
LAC,2025,1,17,11,6,0,0.6471,4.5469,0.0303,2026-04-24T18:27:14Z
LAR,2025,1,17,0,17,0,0.0000,-11.9531,-0.0797,2026-04-24T18:27:14Z
LV,2025,1,17,3,14,0,0.1765,-7.4531,-0.0497,2026-04-24T18:27:14Z
MIA,2025,1,17,7,10,0,0.4118,-1.4531,-0.0097,2026-04-24T18:27:14Z
MIN,2025,1,17,9,8,0,0.5294,1.5469,0.0103,2026-04-24T18:27:14Z
NE,2025,1,17,14,3,0,0.8235,9.0469,0.0603,2026-04-24T18:27:14Z
NO,2025,1,17,6,11,0,0.3529,-2.9531,-0.0197,2026-04-24T18:27:14Z
NYG,2025,1,17,4,13,0,0.2353,-5.9531,-0.0397,2026-04-24T18:27:14Z
NYJ,2025,1,17,3,14,0,0.1765,-7.4531,-0.0497,2026-04-24T18:27:14Z
PHI,2025,1,17,10,7,0,0.5882,3.0469,0.0203,2026-04-24T18:27:14Z
PIT,2025,1,17,10,7,0,0.5882,3.0469,0.0203,2026-04-24T18:27:14Z
SEA,2025,1,17,13,4,0,0.7647,7.5469,0.0503,2026-04-24T18:27:14Z
SF,2025,1,17,11,6,0,0.6471,4.5469,0.0303,2026-04-24T18:27:14Z
TB,2025,1,17,8,9,0,0.4706,0.0469,0.0003,2026-04-24T18:27:14Z
TEN,2025,1,17,3,14,0,0.1765,-7.4531,-0.0497,2026-04-24T18:27:14Z
WAS,2025,1,17,5,12,0,0.2941,-4.4531,-0.0297,2026-04-24T18:27:14Z
