player,position,team,from_team,contract_aav,contract_total,contract_years,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Braden Fiske,DL,,CAR,,,,,,,0,,,,,FiskBr00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Baron Browning,LB,ARI,DEN,1168944,4675775,4,,,,3,,,,,BrowBa01,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Bilal Nichols,DL,ARI,LV,7000000,21000000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Chris Moore,WR,ARI,TEN,2000000,2000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
DeeJay Dallas,RB,ARI,SEA,2750000,8250000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Desmond Ridder,QB,ARI,ATL,1406560,5626240,4,,,,2,,,,,RiddDe00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Evan Brown,G/C,ARI,SEA,2350000,2350000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Jonah Williams,RT,ARI,CIN,15000000,30000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Justin Jones,DL,ARI,CHI,10388333,31165000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Khyiris Tonga,DL,ARI,MIN,1750000,1750000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Mack Wilson,LB,ARI,NE,4250000,12750000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Markus Bailey,LB,ARI,CIN,1125000,1125000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Marquis Haynes,DL,ARI,CAR,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2024,spotrac_fa_scraper,2026-05-18T15:18:40Z
Matt Goncalves,,ARI,ATL,,,,,,,,,,,,GoncMa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
Max Melton,DB,ARI,ATL,,,,,,,0,,,,,MeltMa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:38Z
