player,team,pfr_url_or_slug,position_hint,college_hint,dob_hint,notes
Marcus Maye,LAC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sdg/2026_roster.htm"
Larrell Murchison,LAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/ram/2026_roster.htm"
Jeremiah Pharms Jr.,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Tre Flowers,PIT,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/pit/2026_roster.htm"
Demani Richardson,CAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/car/2026_roster.htm"
Hunter Renfrow,CAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/car/2026_roster.htm"
Geron Christian,DEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/den/2026_roster.htm"
Marcedes Lewis,DEN,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/den/2026_roster.htm"
Clayton Tune,GB,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/gnb/2026_roster.htm"
K'Von Wallace,HOU,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/htx/2026_roster.htm"
Shane Buechele,KC,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/kan/2026_roster.htm"
Dane Jackson,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Eric Kendricks,SF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sfo/2026_roster.htm"
Baylon Spector,BUF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/buf/2026_roster.htm"
Darrell Taylor,HOU,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/htx/2026_roster.htm"
D'Ernest Johnson,NE,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/nwe/2026_roster.htm"
Jalen Reeves-Maybin,CHI,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/chi/2026_roster.htm"
Nick Hampton,LAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/ram/2026_roster.htm"
D'Anthony Bell,CAR,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/car/2026_roster.htm"
Brayden Willis,SF,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sfo/2026_roster.htm"
Trevon Diggs,GB,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/gnb/2026_roster.htm"
Cam Akers,SEA,,"","","","unresolved: missing_team_roster_page; source note: Roster page unavailable: https://www.pro-football-reference.com/teams/sea/2026_roster.htm"
