player,team,reason,notes
Marcus Maye,LAC,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Tre Flowers,PIT,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Hunter Renfrow,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Geron Christian,DEN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Marcedes Lewis,DEN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Clayton Tune,GB,missing_disambiguation_hint,No PFR slug and no usable NFL hint
K'Von Wallace,HOU,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Shane Buechele,KC,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Darrell Taylor,HOU,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Nick Hampton,LAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
D'Anthony Bell,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Jalan Gaines,SEA,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Nick Westbrook-Ikhine,MIA,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Robert Woods,LAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Logan Wilson,DAL,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Justin Osborne,CLE,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Savion Washington,LAC,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Perrion Winfrey,DAL,missing_disambiguation_hint,No PFR slug and no usable NFL hint
A'Shawn Robinson,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Popo Aumavae,CAR,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Johnny Mundt,JAX,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Anthony Johnson Jr.,NYG,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Kyler Murray,ARI,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Wyatt Teller,CLE,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Dre Greenlaw,DEN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Joshua Paschal,DET,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Nate Hobbs,GB,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Bradley Chubb,MIA,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Javon Hargrave,MIN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Jonathan Allen,MIN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Evan Brown,ARI,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Tua Tagovailoa,MIA,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Bryce Huff,SF,missing_disambiguation_hint,No PFR slug and no usable NFL hint
Zeke Correll,MIN,missing_disambiguation_hint,No PFR slug and no usable NFL hint
