team,total_fa_spending,cap_space,dead_money,source_url,observed_at,notes
ARI,106652500,40835523,73320820,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/arizona-cardinals,2026-04-13T18:43:12Z,
ATL,62427500,24858085,41844465,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/atlanta-falcons,2026-04-13T18:43:12Z,
BAL,165000000,29539010,18198715,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/baltimore-ravens,2026-04-13T18:43:12Z,
BUF,130615000,12103657,46164050,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/buffalo-bills,2026-04-13T18:43:12Z,
CAR,196747500,2210496,22140178,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/carolina-panthers,2026-04-13T18:43:12Z,
CHI,116765000,219549,19895493,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/chicago-bears,2026-04-13T18:43:12Z,
CIN,137575000,20342958,10416745,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/cincinnati-bengals,2026-04-13T18:43:12Z,
CLE,105077500,21069505,91602938,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/cleveland-browns,2026-04-13T18:43:12Z,
DAL,76697500,14424454,41550057,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/dallas-cowboys,2026-04-13T18:43:12Z,
DEN,75455000,18782088,3385588,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/denver-broncos,2026-04-13T18:43:12Z,
DET,49502500,23682868,26468791,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/detroit-lions,2026-04-13T18:43:12Z,
GB,76310000,22015250,43199303,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/green-bay-packers,2026-04-13T18:43:12Z,
HOU,165750000,14927604,66366709,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/houston-texans,2026-04-13T18:43:12Z,
IND,255300000,26627200,9593644,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/indianapolis-colts,2026-04-13T18:43:12Z,
JAX,53015000,5989907,53340647,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/jacksonville-jaguars,2026-04-13T18:43:12Z,
KC,118575000,6717066,9773977,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/kansas-city-chiefs,2026-04-13T18:43:12Z,
LV,292727000,23247186,52012266,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/las-vegas-raiders,2026-04-13T18:43:12Z,
LAC,159105000,48679074,5548177,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/los-angeles-chargers,2026-04-13T18:43:12Z,
LAR,103602500,26014238,8835821,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/los-angeles-rams,2026-04-13T18:43:12Z,
MIA,95587500,1933064,179204257,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/miami-dolphins,2026-04-13T18:43:12Z,
MIN,43112500,4826234,35146407,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/minnesota-vikings,2026-04-13T18:43:12Z,
NE,186037500,35708626,38489465,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/new-england-patriots,2026-04-13T18:43:12Z,
NO,183485000,13897399,112108154,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/new-orleans-saints,2026-04-13T18:43:12Z,
NYG,167820000,6470195,12639139,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/new-york-giants,2026-04-13T18:43:12Z,
NYJ,111780000,39551357,111246438,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/new-york-jets,2026-04-13T18:43:12Z,
PHI,47682500,34830735,51617968,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/philadelphia-eagles,2026-04-13T18:43:12Z,
PIT,81772500,27051445,12221838,https://overthecap.com/free-agency-spending|https://overthecap.com/salary-cap-space|https://overthecap.com/salary-cap/pittsburgh-steelers,2026-04-13T18:43:12Z,
