team,reason,source_url
ARI,no_2026_data,https://overthecap.com/salary-cap/arizona-cardinals
ATL,no_2026_data,https://overthecap.com/salary-cap/atlanta-falcons
BAL,no_2026_data,https://overthecap.com/salary-cap/baltimore-ravens
BUF,no_2026_data,https://overthecap.com/salary-cap/buffalo-bills
CAR,no_2026_data,https://overthecap.com/salary-cap/carolina-panthers
CHI,no_2026_data,https://overthecap.com/salary-cap/chicago-bears
CIN,no_2026_data,https://overthecap.com/salary-cap/cincinnati-bengals
CLE,no_2026_data,https://overthecap.com/salary-cap/cleveland-browns
DAL,no_2026_data,https://overthecap.com/salary-cap/dallas-cowboys
DEN,no_2026_data,https://overthecap.com/salary-cap/denver-broncos
DET,no_2026_data,https://overthecap.com/salary-cap/detroit-lions
GB,no_2026_data,https://overthecap.com/salary-cap/green-bay-packers
HOU,no_2026_data,https://overthecap.com/salary-cap/houston-texans
IND,no_2026_data,https://overthecap.com/salary-cap/indianapolis-colts
JAX,no_2026_data,https://overthecap.com/salary-cap/jacksonville-jaguars
KC,no_2026_data,https://overthecap.com/salary-cap/kansas-city-chiefs
LV,no_2026_data,https://overthecap.com/salary-cap/las-vegas-raiders
LAC,no_2026_data,https://overthecap.com/salary-cap/los-angeles-chargers
LAR,no_2026_data,https://overthecap.com/salary-cap/los-angeles-rams
MIA,no_2026_data,https://overthecap.com/salary-cap/miami-dolphins
MIN,no_2026_data,https://overthecap.com/salary-cap/minnesota-vikings
NE,no_2026_data,https://overthecap.com/salary-cap/new-england-patriots
NO,no_2026_data,https://overthecap.com/salary-cap/new-orleans-saints
NYG,no_2026_data,https://overthecap.com/salary-cap/new-york-giants
NYJ,no_2026_data,https://overthecap.com/salary-cap/new-york-jets
PHI,no_2026_data,https://overthecap.com/salary-cap/philadelphia-eagles
PIT,no_2026_data,https://overthecap.com/salary-cap/pittsburgh-steelers
SEA,no_2026_data,https://overthecap.com/salary-cap/seattle-seahawks
SF,no_2026_data,https://overthecap.com/salary-cap/san-francisco-49ers
TB,no_2026_data,https://overthecap.com/salary-cap/tampa-bay-buccaneers
TEN,no_2026_data,https://overthecap.com/salary-cap/tennessee-titans
WAS,no_2026_data,https://overthecap.com/salary-cap/washington-commanders
