team,player,transaction_type,transaction_date,notes,source_url,import_method,imported_at
"ARI","Kyler Brown","Signed","2026-03-12","Veteran WR added on 2-year deal","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"ARI","Marcus Hall","Released","2026-03-10","Cap-related move","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"ATL","Jamal Carter","Signed","2026-03-11","Depth CB signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"ATL","Evan Price","Re-signed","2026-03-09","Special teams contributor retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"BAL","Derrick Young","Signed","2026-03-13","Edge rusher added in free agency","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"BAL","Logan Fields","Released","2026-03-08","Veteran cap casualty","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"BUF","Chris Walker","Signed","2026-03-14","Interior OL depth","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"BUF","Andre Lewis","Released","2026-03-10","LB released ahead of free agency","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CAR","Malik Johnson","Signed","2026-03-12","Slot WR added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CAR","Troy Daniels","Re-signed","2026-03-09","Backup OT retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CHI","Jordan Ellis","Signed","2026-03-15","Veteran safety signed","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CHI","Cole Harris","Released","2026-03-11","WR released after two seasons","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CIN","Noah King","Signed","2026-03-13","Rotational DT added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CIN","Riley Moore","Re-signed","2026-03-10","Nickel CB retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CLE","Isaiah Brooks","Signed","2026-03-14","TE added as red-zone target","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"CLE","Dante Scott","Released","2026-03-09","Veteran RB released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DAL","Hunter Reed","Signed","2026-03-12","Edge depth signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DAL","Mason Clark","Re-signed","2026-03-08","Core special teamer retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DEN","Elijah Grant","Signed","2026-03-13","Veteran CB added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DEN","Caleb Foster","Released","2026-03-10","DL released for cap space","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DET","Miles Turner","Signed","2026-03-14","RB added to rotation","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"DET","Owen Parker","Re-signed","2026-03-09","Backup QB retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"GB","Tyler James","Signed","2026-03-11","Slot CB signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"GB","Logan Reed","Released","2026-03-08","Veteran TE released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"HOU","Jalen Morris","Signed","2026-03-12","WR added for depth","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"HOU","Brandon Cole","Re-signed","2026-03-09","Interior DL retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"IND","Spencer Ward","Signed","2026-03-13","LB added for special teams","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"IND","Eli Rogers","Released","2026-03-10","CB released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"JAX","Cameron White","Signed","2026-03-14","Boundary WR signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"JAX","Nate Phillips","Re-signed","2026-03-09","Backup S retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"KC","Damien Ross","Signed","2026-03-12","Rotational edge rusher","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"KC","Trevor Long","Released","2026-03-08","Veteran OL released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LV","Adrian Scott","Signed","2026-03-13","CB added in free agency","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LV","Marcus Young","Re-signed","2026-03-09","WR retained on 1-year deal","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LAC","Dylan Hayes","Signed","2026-03-14","Safety added for depth","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LAC","Grant Miller","Released","2026-03-10","DL released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LAR","Noah Adams","Signed","2026-03-11","Veteran OT signing","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"LAR","Ethan Brooks","Re-signed","2026-03-09","Nickel CB retained","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"MIA","Jared Collins","Signed","2026-03-12","Speed WR added","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"MIA","Logan Price","Released","2026-03-08","Veteran LB released","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
"MIN","Caleb Wright","Signed","2026-03-13","Interior OL depth","https://www.nfl.com/transactions","manual","2026-03-20T00:00:00Z"
