"team","player","transaction_type","transaction_date","notes","source_url","import_method","imported_at"
"CAR","Jadeveon Clowney","Signed","2024-03-29","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CAR","Sam Franklin Jr.","Signed","2024-03-29","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"NO","Charlie Smyth","Signed","2024-03-29","Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"KC","Louis Rees-Zammit","Signed","2024-03-29","Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"DET","Nate Sudfeld","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"GB","Greg Joseph","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"JAX","Josiah Deguara","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CAR","Raheem Blackshear","Signed","2024-03-28","Exclusive Rights Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"BUF","DeShawn Williams","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"BUF","Austin Johnson","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"LAC","Kristian Fulton","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"DEN","Josh Reynolds","Signed","2024-03-28","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CAR","Nick Scott","Signed","2024-03-27","Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"IND","Taven Bryan","Signed","2024-03-26","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"NYJ","Jalyn Holmes","Signed","2024-03-26","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"NYG","Isaiah Hodgins","Signed","2024-03-25","Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"BUF","Will Clapp","Signed","2024-03-25","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"LAR","Larrell Murchison","Signed","2024-03-25","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"WAS","Cornelius Lucas","Signed","2024-03-25","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CLE","Rodney McLeod Jr.","Signed","2024-03-25","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CLE","Cade York","Signed","2024-03-25","Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"WAS","Michael Deiter","Signed","2024-03-25","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"LV","Isaiah Pola-Mao","Signed","2024-03-22","Exclusive Rights Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"HOU","C.J. Henderson","Signed","2024-03-22","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
"CLE","D'Onta Foreman","Signed","2024-03-22","Unrestricted Free Agent Signing","https://www.nfl.com/transactions/league/signings/2024/3","manual","2026-03-26T19:46:45Z"
