team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,7,8,0,0.4667,-0.4000,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:54:42Z
ATL,8,9,0,0.4706,-2.0000,17,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:54:42Z
BAL,12,5,0,0.7059,9.2353,17,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:54:42Z
BUF,13,3,0,0.8125,9.9375,16,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-08T18:54:42Z
CAR,5,12,0,0.2941,-11.3529,17,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:54:42Z
CHI,4,12,0,0.2500,-4.1250,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:54:42Z
CIN,9,8,0,0.5294,2.2353,17,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:54:42Z
CLE,3,14,0,0.1765,-10.4118,17,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:54:42Z
DAL,7,10,0,0.4118,-6.9412,17,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:54:42Z
DEN,10,7,0,0.5882,6.7059,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:54:42Z
DET,14,2,0,0.8750,13.5000,16,nflverse_games_actual,14.0,nflverse_games_actual,2026-05-08T18:54:42Z
GB,10,6,0,0.6250,7.3125,16,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:54:42Z
HOU,10,7,0,0.5882,0.0000,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:54:42Z
IND,8,9,0,0.4706,-2.9412,17,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:54:42Z
JAX,4,13,0,0.2353,-6.7647,17,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:54:42Z
KC,15,2,0,0.8824,3.4706,17,nflverse_games_actual,15.0,nflverse_games_actual,2026-05-08T18:54:42Z
LV,4,12,0,0.2500,-7.5000,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:54:42Z
LAC,11,6,0,0.6471,5.9412,17,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:54:42Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:54:42Z
MIA,7,9,0,0.4375,-1.6875,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:54:42Z
MIN,14,2,0,0.8750,6.8750,16,nflverse_games_actual,14.0,nflverse_games_actual,2026-05-08T18:54:42Z
NE,4,12,0,0.2500,-7.6250,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:54:42Z
NO,5,11,0,0.3125,-3.3125,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:54:42Z
NYG,3,14,0,0.1765,-8.3529,17,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:54:42Z
NYJ,5,11,0,0.3125,-3.5000,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:54:42Z
PHI,13,3,0,0.8125,8.9375,16,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-08T18:54:42Z
PIT,10,7,0,0.5882,1.9412,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:54:42Z
SEA,9,6,0,0.6000,0.5333,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:54:42Z
SF,6,9,0,0.4000,-2.5333,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:54:42Z
TB,10,7,0,0.5882,6.8824,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:54:42Z
TEN,3,14,0,0.1765,-8.7647,17,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:54:42Z
WAS,12,5,0,0.7059,5.5294,17,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:54:42Z
