team,win_total,provider,captured_at
ARI,3.0,nflverse_games,2026-05-05T15:34:57Z
ATL,7.0,nflverse_games,2026-05-05T15:34:57Z
BAL,8.0,nflverse_games,2026-05-05T15:34:57Z
BUF,12.0,nflverse_games,2026-05-05T15:34:57Z
CAR,7.0,nflverse_games,2026-05-05T15:34:57Z
CHI,11.0,nflverse_games,2026-05-05T15:34:57Z
CIN,6.0,nflverse_games,2026-05-05T15:34:57Z
CLE,5.0,nflverse_games,2026-05-05T15:34:57Z
DAL,7.5,nflverse_games,2026-05-05T15:34:57Z
DEN,14.0,nflverse_games,2026-05-05T15:34:57Z
DET,9.0,nflverse_games,2026-05-05T15:34:57Z
GB,9.5,nflverse_games,2026-05-05T15:34:57Z
HOU,12.0,nflverse_games,2026-05-05T15:34:57Z
IND,8.0,nflverse_games,2026-05-05T15:34:57Z
JAX,13.0,nflverse_games,2026-05-05T15:34:57Z
KC,6.0,nflverse_games,2026-05-05T15:34:57Z
LV,3.0,nflverse_games,2026-05-05T15:34:57Z
LAC,11.0,nflverse_games,2026-05-05T15:34:57Z
LAR,0.0,nflverse_games,2026-05-05T15:34:57Z
MIA,7.0,nflverse_games,2026-05-05T15:34:57Z
MIN,9.0,nflverse_games,2026-05-05T15:34:57Z
NE,14.0,nflverse_games,2026-05-05T15:34:57Z
NO,6.0,nflverse_games,2026-05-05T15:34:57Z
NYG,4.0,nflverse_games,2026-05-05T15:34:57Z
NYJ,3.0,nflverse_games,2026-05-05T15:34:57Z
PHI,10.0,nflverse_games,2026-05-05T15:34:57Z
PIT,10.0,nflverse_games,2026-05-05T15:34:57Z
SEA,13.0,nflverse_games,2026-05-05T15:34:57Z
SF,11.0,nflverse_games,2026-05-05T15:34:57Z
TB,8.0,nflverse_games,2026-05-05T15:34:57Z
TEN,3.0,nflverse_games,2026-05-05T15:34:57Z
WAS,5.0,nflverse_games,2026-05-05T15:34:57Z
