team,win_total,provider,captured_at
ARI,4.5,DraftKings,2026-04-13T18:54:00Z
ATL,7.5,DraftKings,2026-04-13T18:54:00Z
BAL,11.5,DraftKings,2026-04-13T18:54:00Z
BUF,10.5,DraftKings,2026-04-13T18:54:00Z
CAR,7.5,DraftKings,2026-04-13T18:54:00Z
CHI,9.5,DraftKings,2026-04-13T18:54:00Z
CIN,9.5,DraftKings,2026-04-13T18:54:00Z
CLE,6.5,DraftKings,2026-04-13T18:54:00Z
DAL,8.5,DraftKings,2026-04-13T18:54:00Z
DEN,9.5,DraftKings,2026-04-13T18:54:00Z
DET,10.5,DraftKings,2026-04-13T18:54:00Z
GB,10.5,DraftKings,2026-04-13T18:54:00Z
HOU,9.5,DraftKings,2026-04-13T18:54:00Z
IND,7.5,DraftKings,2026-04-13T18:54:00Z
JAX,9.5,DraftKings,2026-04-13T18:54:00Z
KC,10.5,DraftKings,2026-04-13T18:54:00Z
LV,5.5,DraftKings,2026-04-13T18:54:00Z
LAC,10.5,DraftKings,2026-04-13T18:54:00Z
LAR,11.5,DraftKings,2026-04-13T18:54:00Z
MIA,4.5,DraftKings,2026-04-13T18:54:00Z
MIN,8.5,DraftKings,2026-04-13T18:54:00Z
NE,9.5,DraftKings,2026-04-13T18:54:00Z
NO,7.5,DraftKings,2026-04-13T18:54:00Z
NYG,7.5,DraftKings,2026-04-13T18:54:00Z
NYJ,5.5,DraftKings,2026-04-13T18:54:00Z
PHI,10.5,DraftKings,2026-04-13T18:54:00Z
PIT,8.5,DraftKings,2026-04-13T18:54:00Z
SEA,10.5,DraftKings,2026-04-13T18:54:00Z
SF,10.5,DraftKings,2026-04-13T18:54:00Z
TB,8.5,DraftKings,2026-04-13T18:54:00Z
TEN,6.5,DraftKings,2026-04-13T18:54:00Z
WAS,7.5,DraftKings,2026-04-13T18:54:00Z
